# VMD Mob Attributes — aligned to balance_framework.md v2 (2026-05-11)
# Formula: mobHP = weaponBaseATK * 76; mobDEF = 2 + 0.4 * level
#   Boss: HP×15, ATK/HP hand-tuned per instance; DEF kept as-designed
# Columns: type,className,mobName,chapter,averageLevel,attackDamage,defence,manaDefence,critRate,critDamage,defencePenetration,defencePenetration0,healthSteal,maxHealth,movementSpeed,playerScaling
type,className,mobName,chapter,averageLevel,attackDamage,defence,manaDefence,critRate,critDamage,defencePenetration,defencePenetration0,healthSteal,maxHealth,movementSpeed,playerScaling
NORMAL,PlainZombieSpawnController,平原僵尸,chapter1,4,20,4,4,0.2,1,0,0,0,1280,0.2,
NORMAL,ForestZombieSpawnController,森林僵尸,chapter1,12,60,7,7,0.2,1,0,0,0,1746,0.2,
NORMAL,LakeDrownSpawnController,河流故灵,chapter1,18,80,9,9,0.2,1,0,0,0,2202,0.2,
NORMAL,MineSkeletonSpawnController,被遗忘的矿工,chapter1,24,100,12,12,0.2,1,0,0,0,2778,0.2,
NORMAL,SpiderSpawnController,雨林蜘蛛,chapter2,32,120,15,15,0.3,2,0.1,3,10,3787,0.3,
NORMAL,FireLightSpawnController,焰芒虫,chapter2,40,150,18,18,0.3,2,0.1,3,10,5163,0.3,
NORMAL,SearedSpiritSpawnController,炽魂,chapter2,48,200,21,21,0.3,2,0.1,3,10,7038,0.3,
NORMAL,SearedSpirit2SpawnController,炽魂,chapter2,56,200,24,24,0.3,2,0.1,3,10,8599,0.3,
NORMAL,EvokerSpawnController,唤魔者,chapter2,56,200,24,24,0.3,2,0.1,3,10,8599,0.3,
NORMAL,SkySkeletonSpawnController,外来飞艇卫兵,chapter2,60,200,26,26,0.3,3,0.1,3,10,9338,0.3,
NORMAL,SkyVexSpawnController,天空城的不速之客,chapter2,60,200,26,26,0.3,3,0.1,3,10,9338,0.3,
NORMAL,DreadHoundSpawnController,森林狼,chapter2,66,200,28,28,0.3,2,0.1,3,10,10565,0.3,
NORMAL,LumberJackSpawnController,伐木工,chapter2,60,450,26,26,0.35,3,0.2,5,15,9338,0.3,
NORMAL,SlimeSpawnController,史莱姆,chapter2,76,200,32,32,0.35,3,0.2,5,15,12981,0.3,
NORMAL,HuskSpawnController,脆弱的岩灵,chapter2,84,400,36,36,0.35,3,0.2,5,15,15305,0.3,
NORMAL,HuskEx0SpawnController,脆弱的岩灵,chapter2,84,400,36,36,0.35,3,0.2,5,15,15305,0.3,
NORMAL,HuskEx1SpawnController,脆弱的岩灵,chapter2,84,400,36,36,0.35,3,0.2,5,15,15305,0.3,
NORMAL,HuskEx2SpawnController,脆弱的岩灵,chapter2,84,400,36,36,0.35,3,0.2,5,15,15305,0.3,
NORMAL,BlazePowerSpawnController,熔岩之能,chapter2,60,200,26,26,0.3,2,0.1,3,10,9338,0.3,
NORMAL,EvokerMasterSpawnController,唤魔大师,chapter2,60,200,26,26,0.3,2,0.1,3,10,9338,0.3,
NORMAL,SnowStraySpawnController,冰川流浪者,chapter2,100,500,42,42,0.35,3,0.2,5,15,21277,0.3,
NORMAL,GuardianSpawnController,神殿守卫,chapter2,100,500,42,42,0.35,3,0.2,5,15,21277,0.3,
NORMAL,LightningZombieController,雷光灯塔驻卫,chapter2,92,450,39,39,0.35,3,0.2,5,15,18046,0.3,
NORMAL,WitherSkeletonSpawnController,凋零骷髅,chapter3_nether,80,200,34,34,0.35,3,0.2,5,15,14095,0.25,
NORMAL,PiglinSpawnController,猪灵,chapter3_nether,80,200,34,34,0.35,3,0.2,5,15,14095,0.25,
NORMAL,MagmaSpawnController,熔岩聚合物,chapter3_nether,80,200,34,34,0.35,3,0.2,5,15,14095,0.25,
NORMAL,NetherSkeletonSpawnController,下界骷髅,chapter3_nether,80,200,34,34,0.35,3,0.2,5,15,14095,0.25,
NORMAL,EnderManSpawnController,终界使者,chapter4_end,80,220,34,34,0.35,3,0.2,5,15,14095,0.25,
NORMAL,ShulkerSpawnController,寂域遗骸,chapter4_end,140,1200,58,58,0.45,3,0.3,30,25,36780,0.4,
NORMAL,EndermiteSpawnController,寂域灵螨,chapter4_end,140,1200,58,58,0.45,3,0.3,30,25,36780,0.4,
NORMAL,BloodManaSpawnController,腥月血灵,chapter5,116,700,48,48,0.4,3,0.25,10,20,26487,0.35,
NORMAL,EarthManaSpawnController,地蕴蓝灵,chapter5,124,800,52,52,0.4,3,0.25,10,20,29550,0.35,
NORMAL,SakuraMobSpawnController,樱灵,chapter5,132,0,55,55,0.4,3,0.25,10,20,32968,0.1,
NORMAL,SakuraMob2SpawnController,樱灵,chapter5,132,0,55,55,0.4,3,0.25,10,20,32968,0.1,
NORMAL,PillagerSpawnController,海盗,chapter5,108,600,45,45,0.4,3,0.25,10,20,23741,0.35,
NORMAL,Pillager2SpawnController,海盗,chapter5,108,600,45,45,0.4,3,0.25,10,20,23741,0.35,
NORMAL,Ore2SpawnController,被遗忘的晶钻矿工,chapter5,112,500,47,47,0.35,3,0.2,5,15,25076,0.3,
