# VMD Weapon BASE Attributes — regenerated from constructors (2026-05-13),,,,,,,,,,,,,,,,,,,,,,,,
# Formula: Sword ATK = segmented exponential (Lv1=15,Lv50=100,Lv100=280,Lv200=1100,Lv300=3200),,,,,,,,,,,,,,,,,,,,
#   Sceptre manaDamage = Sword ATK * 2.2; Bow ATK = Sword ATK * 0.95,,,,,,,,,,,,,,,,,,,,,,,,
# Effective attribute = baseValue * tierMultiplier(0.8~3.0) + forgingValue(piecewise linear),,,,,,,,,,,,,,,,,,,,,,,,
# Columns: type,className,registryName,chineseName,tiers,attackDamage,critRate,critDamage,manaDamage,manaRecover,coolDown,defencePen,defencePen0,healthSteal,manaHealthSteal,manaPen,manaPen0,maxHealth,movementSpeed,elementType,elementValue,levelRequire,numericalLevel,notes,
type,className,registryName,chineseName,tiers,attackDamage,critRate,critDamage,manaDamage,manaRecover,coolDown,defencePen,defencePen0,healthSteal,manaHealthSteal,manaPen,manaPen0,maxHealth,movementSpeed,elementType,elementValue,levelRequire,numericalLevel,notes,
# ===== DEV TOOLS =====,,,,,,,,,,,,,,,,,,,,,,,,
SWORD,ManageSword,manage_sword,管理剑,1,,,,,,,,,,,,,,,,,,0,dev tool,
BOW,ManageBow,manage_bow,管理弓,1,,,,,,,,,,,,,,,,,,0,dev tool,
SCEPTRE,ManageSceptre,manage_sceptre,管理法杖,1,,,,,,,,,,,,,,,,,,0,dev tool,
# ===== RANDOM LOOT =====,,,,,,,,,,,,,,,,,,,,,,,,
SWORD,RandomSword,random_sword,随机剑,1,,,,,,,,,,,,,,,,,,0,dynamic attrs,
BOW,RandomBow,random_bow,随机弓,1,,,,,,,,,,,,,,,,,,0,dynamic attrs,
SCEPTRE,RandomSceptre,random_sceptre,随机法杖,1,,,,,,,,,,,,,,,,,,0,dynamic attrs,
# ===== CHAPTER 1 - PLAIN (Lv ~4) =====,,,,,,,,,,,,,,,,,,,,,,,,
SWORD,PlainSword,plain_sword_N,平原短匕,4,"20,25,30,40","0.25,0.25,0.25,0.25",,,,,,,,,,,,,,life,"0.2,0.4,0.6,0.8",,8,
BOW,PlainBow,plain_bow_N,平原短弓,4,"20,25,35,40","0.2,0.2,0.2,0.25",,,,,,,,,,,,,,life,"0.2,0.4,0.6,0.8",,10,
SCEPTRE,LifeSceptre,plain_sceptre_N,生命法杖,5,,,,"20,25,35,45,60",5,"0.1,0.12,0.14,0.16,0.2",,,,,,"1,1,2,2,3",,,life,"0.2,0.4,0.6,0.8,1",,1,,
# ===== CHAPTER 1 - FOREST (Lv ~12) =====,,,,,,,,,,,,,,,,,,,,,,,,
SWORD,ForestSword,forest_sword_N,森林短剑,4,"50,55,60,70","0.3,0.3,0.3,0.3",,,,,,"1,1,2,2",0.02,,,,,,life,"0.2,0.4,0.6,0.8",,32,,
BOW,ForestBow,forest_bow_N,森林短弓,4,"50,55,60,70","0.2,0.2,0.2,0.25",,,,,,"1,1,2,2",,,,,,,life,"0.2,0.4,0.6,0.8",,33,,
SWORD,ForestSword4,forestsword4,森林剑(强化),1,50,0.3,,,,,,18,0.05,,,,,,life,1.0,,32,强化版,
# ===== CHAPTER 1 - VOLCANO (Lv ~16) =====,,,,,,,,,,,,,,,,,,,,,,,,
SWORD,VolcanoSword,volcano_sword_N,火山剑,5,"80,85,90,100,120","0.2,0.2,0.2,0.2,0.2",,,,,,"2,2,3,3,6",,,,,,,fire,"0.2,0.4,0.6,0.8,1",,44,,
BOW,VolcanoBow,volcano_bow_N,火山弓,4,"80,85,90,100","0.2,0.2,0.2,0.25",,,,,,"2,2,3,3",,,,,,,fire,"0.2,0.4,0.6,0.8",,46,,
# ===== CHAPTER 1 - SNOW (Lv 100) =====,,,,,,,,,,,,,,,,,,,,,,,,
SWORD,SnowSword,snow_sword_N,雪域短剑,5,"100,105,110,120,200","0.3,0.33,0.36,0.45,0.45",,,,,,"6,7,8,9,18","0.02,0.03,0.04,0.08,0.08",,,,,,ice,"0.2,0.4,0.6,0.8,1",100,50,,
# ===== CHAPTER 1 - MINE (Lv ~20,高暴击) =====,,,,,,,,,,,,,,,,,,,,,,,
SWORD,MineSword,mine_sword_N,矿洞短剑,4,"50,55,60,70","0.55,0.6,0.65,0.7",,,,,,"3,4,5,6",0.04,,,,,,stone,0.2,,32,,
BOW,MineBow,mine_bow_N,矿洞短弓,4,"50,55,60,75","0.2,0.2,0.2,0.25",,,,,,"3,4,5,6",,,,,,,stone,"0.2,0.4,0.6,0.8",,33,,
# ===== CHAPTER 1 - FIELD (Lv ~14,吸血特化) =====,,,,,,,,,,,,,,,,,,,,,,,
SWORD,FieldSword,field_sword_N,原野短剑,4,"50,50,50,60",0.5,,,,,,"4,5,6,7",0.2,,,,,,life,"0.2,0.4,0.6,0.8",,32,,
# ===== CHAPTER 1 - LAKE (Lv ~18) =====,,,,,,,,,,,,,,,,,,,,,,,,
SWORD,LakeSword,lake_sword_N,澈源之剑,4,"50,60,70,80",0.3,,,,,,"2,2.5,3,4",,,,,,,water,"0.2,0.4,0.6,0.8",,32,,
BOW,LakeBow,lake_bow_N,澈源之弓,4,"50,60,70,80","0.4,0.4,0.4,0.4",,,,,,"2,2,3,3",,,,,,,water,"0.2,0.4,0.6,0.8",,33,,
SCEPTRE,LakeSceptre,lake_sceptre_N,澈源之杖,4,,,,"50,60,70,80",7,0.2,,,,,,"2,2,3,3",,,water,"0.2,0.4,0.6,0.8",,12,,
# ===== CHAPTER 1 - PLAIN BOSS =====,,,,,,,,,,,,,,,,,,,,,,,,
SCEPTRE,PlainBossSceptre,plain_boss_sceptre,普莱尼生机权杖,1,,,,,,,,,,,,,,,,,,0,"PercentHealthRecover:0.025,HealthRecover:100",
# ===== CHAPTER 2 - SKY (Lv 72) =====,,,,,,,,,,,,,,,,,,,,,,,,
SWORD,SkySword,sky_sword,天空之锋,1,120,0.25,,,,,,6,,,,,,,wind,0.8,72,59,,
BOW,SkyBow,sky_bow,天空之弓,1,120,0.25,,,,,,6,,,,,,,wind,0.8,72,61,,
BOW,SkyBossBow,sky_boss_bow,次元级寰宇之耀,1,100,0.5,,,,,0.25,,,,,,,,wind,1.25,,52,Boss掉落,
# ===== CHAPTER 2 - HUSK (Lv 84) =====,,,,,,,,,,,,,,,,,,,,,,,,
SWORD,HuskSword,husk_sword_N,岩屑,5,"80,85,90,100,200",0.3,,,,,,"9,10,11,12,15",0.05,,,,,,stone,"0.2,0.4,0.6,0.8,1",84,44,,
# ===== CHAPTER 2 - SEA (Lv 100) =====,,,,,,,,,,,,,,,,,,,,,,,,
SWORD,SeaSword,sea_sword_N,灵晶剑,5,"80,85,90,100,200",0.3,,,,,,"9,10,11,12,15",0.05,,,,,,water,"0.2,0.4,0.6,0.8,1",100,44,,
BOW,SeaBow,sea_bow,灵晶锻弓,1,400,0.25,,,,,,18,,,,,,,water,1.0,100,130,,
# ===== CHAPTER 2 - EVOKER (Lv 56) =====,,,,,,,,,,,,,,,,,,,,,,,,
SCEPTRE,EvokerSceptre,evoker_sceptre,唤魔者魔法书,4,,,,"220,260,300,360",10,0.2,,,,,,"4,5,6,7",,,lightning,"0.8,0.9,1,1.2",56,50,,
# ===== CHAPTER 2 - STONE SPIDER =====,,,,,,,,,,,,,,,,,,,,,,,,
SWORD,StoneSpiderKnife,stone_spider_knife_N,锯齿石刀,4,,,,,,,0.8,,,,,,,,,,,0,纯穿透刀,
# ===== NETHER (Lv 80) =====,,,,,,,,,,,,,,,,,,,,,,,,
SWORD,WitherSword,wither_sword_N,凋零碳刃,4,"80,100,120,140","0.2,0.22,0.24,0.3",,,,,,"9,10,11,12","0.04,0.06,0.08,0.1",,,,,,fire,"0.2,0.4,0.6,0.8",80,44,,
BOW,WitherBow,wither_bow_N,凋零长弓,4,"80,100,120,140","0.2,0.25,0.25,0.25",,,,,,"9,10,11,12",,,,,,,,,80,46,,
SWORD,ManaSword,mana_sword,魔力剑,1,130,0.3,,,,,,,,,,,,,fire,0.8,80,63,,
SWORD,ManaSword1,mana_sword_1,魔力剑(强化),1,90,0.35,,,,,,18,0.1,,,,,,fire,1.0,,47,强化版,
SWORD,QuartzSword,quartz_sword,石英剑,1,80,0.45,,65,,,,12,0.08,,,,,,fire,0.8,80,44,混合(物+法),
SWORD,QuartzSabre,quartz_sabre,石英军刀,1,70,0.5,,,,,0.15,,0.08,,,,,,fire,0.8,,41,,
SWORD,NetherSword,nether_sword,玄武岩,2,240,0.25,,,,,,12,,,,,,,fire,1.0,80,93,,
BOW,NetherBow,nether_bow,下界长弓,1,240,0.25,,,,,,9,,,,,,,fire,1.0,80,95,,
